manufacturer,year,cpu_brand,cpu_tier,cores,base_clock,boost_clock,cpu_score,gpu_type,gpu_score,ram_gb,ram_speed_mhz,storage_type,storage_gb,storage_speed_mb_s,display_in,resolution,weight_kg,battery_mah,tdp_watt,price_usd,performance_score
Acer,2020,Intel,mid,6,2.65,3.61,100,NVIDIA RTX,1235,16,2666,SATA SSD,1024,565.460535224333,15.0,3840x2160,1.57,6000,65,250,570.9
Lenovo,2023,Intel,mid,6,2.69,3.49,100,AMD Radeon,793,16,3000,SATA SSD,256,453.4134680953407,19.4,1920x1080,2.29,4500,57,250,323.4
Asus,2025,Intel,mid,6,2.71,3.4,100,NVIDIA GTX,545,8,3600,NVMe SSD,2048,3284.1119792661384,17.3,1920x1080,1.86,3500,57,250,243.0
Acer,2025,AMD,low,4,2.36,2.91,100,NVIDIA RTX,1632,8,3000,SATA SSD,512,461.59175108143614,14.8,1920x1080,1.58,3500,34,250,634.3
MSI,2017,AMD,mid,6,2.8,3.42,100,NVIDIA GTX,357,16,2133,SATA SSD,256,527.3411856372023,14.6,1366x768,1.9,4500,67,250,137.1
Lenovo,2022,AMD,mid,4,3.27,4.24,100,Integrated,67,16,2400,NVMe SSD,512,2341.3177452844593,14.3,1920x1080,1.79,6000,36,250,140.5
Dell,2021,Apple,mid,6,2.76,3.48,100,Integrated,90,16,3200,SATA SSD,256,556.1579195204865,15.1,1920x1080,1.94,6000,42,250,146.1
Apple,2018,AMD,low,4,2.16,2.81,100,Integrated,48,8,2666,SATA SSD,256,488.1008628476683,16.5,1920x1080,1.83,4500,4,250,22.5
HP,2021,Apple,low,4,2.17,2.55,100,Integrated,64,8,2400,NVMe SSD,1024,3860.146470582963,16.0,1920x1080,2.05,3500,22,250,101.7
Asus,2024,AMD,high,8,2.99,3.75,100,NVIDIA RTX,1659,16,2666,SATA SSD,1024,425.2457319778179,14.9,1920x1080,2.33,6000,86,250,592.2
Lenovo,2019,AMD,high,8,3.05,4.59,122,AMD Radeon,410,16,3200,NVMe SSD,128,3594.394145038795,15.9,1920x1080,1.8,4500,73,250,174.1
Razer,2018,Apple,high,16,2.56,3.24,111,AMD Radeon,302,32,3600,NVMe SSD,512,2738.4056249170435,15.2,1920x1080,1.8,4500,78,250,205.6
Acer,2021,AMD,mid,8,2.82,3.72,100,NVIDIA GTX,632,16,3600,NVMe SSD,512,2351.1956312626985,14.8,1920x1080,2.09,3500,63,250,279.7
MSI,2024,AMD,low,4,2.69,3.32,100,Integrated,63,8,3200,NVMe SSD,256,4098.471887774383,15.8,2560x1440,1.56,3500,10,250,98.8
Dell,2018,Intel,low,4,2.19,2.67,100,Integrated,122,4,3600,NVMe SSD,128,3300.0835041914734,14.0,2560x1440,1.56,8000,11,250,44.8
Razer,2021,AMD,mid,8,2.68,3.5,100,Integrated,74,8,2666,NVMe SSD,256,2037.783613330691,16.0,1920x1080,2.31,6000,37,250,56.1
Razer,2022,AMD,high,6,3.05,4.27,100,Integrated,20,16,3200,SATA SSD,512,491.5769762887182,15.1,1920x1080,1.67,4500,36,250,52.1
Lenovo,2022,Intel,mid,8,3.06,3.84,100,NVIDIA RTX,1478,8,3200,NVMe SSD,1024,3331.2027522401727,15.3,1920x1080,1.99,6000,67,250,566.4
Asus,2017,Apple,low,4,2.55,3.02,100,Integrated,20,8,2666,NVMe SSD,256,2465.8344601310437,16.7,3840x2160,2.0,3500,11,250,60.9
Apple,2018,AMD,low,4,2.06,2.34,100,NVIDIA RTX,1283,4,2133,HDD,512,86.57117878520503,15.7,1920x1080,1.6,6000,43,250,543.5
Asus,2024,Intel,low,4,2.56,2.98,100,Integrated,124,4,2400,NVMe SSD,512,2345.521704006551,15.0,3840x2160,1.9,3500,10,250,82.2
Acer,2020,Intel,high,8,2.93,4.01,108,Integrated,50,32,3200,SATA SSD,2048,508.65538110015166,13.4,1920x1080,1.83,3500,41,250,111.8
Asus,2022,Intel,mid,6,2.81,3.67,100,Integrated,90,8,3200,SATA SSD,256,434.3158969610605,16.6,1920x1080,1.95,4500,19,250,83.8
Lenovo,2018,AMD,high,8,2.79,3.61,109,Integrated,20,32,3000,NVMe SSD,256,2803.7502017183815,15.2,1920x1080,2.24,8000,38,250,47.4
Asus,2020,AMD,mid,6,2.55,3.48,100,NVIDIA GTX,352,16,2133,NVMe SSD,128,2003.3548297507023,15.0,1920x1080,1.86,8000,53,250,182.1
Dell,2021,Intel,mid,6,2.83,3.66,100,Integrated,85,8,2666,NVMe SSD,512,3710.8280996697285,17.7,1920x1080,2.33,3500,33,250,110.1
Lenovo,2019,AMD,high,8,3.12,4.21,100,NVIDIA GTX,357,32,3000,NVMe SSD,512,3792.5677972945823,14.7,2560x1440,1.91,6000,89,250,219.2
Dell,2021,AMD,mid,4,2.83,3.66,100,NVIDIA RTX,1207,16,2666,SATA SSD,512,460.2697649772652,15.9,1920x1080,2.44,8000,63,320,475.9
Lenovo,2025,Intel,low,2,2.53,2.99,100,NVIDIA GTX,760,8,3200,NVMe SSD,512,3877.6680295213414,17.5,2560x1440,2.58,4500,48,250,304.8
Dell,2025,AMD,low,4,2.31,2.92,100,NVIDIA RTX,1591,4,3000,SATA SSD,1024,521.6664048945437,16.3,1920x1080,1.98,6000,56,250,617.6
HP,2020,AMD,mid,6,2.66,3.22,100,Integrated,105,8,3000,SATA SSD,1024,537.4858492302606,15.2,2560x1440,1.88,6000,33,250,79.3
Razer,2025,Intel,mid,4,2.69,3.19,100,Integrated,169,8,3600,SATA SSD,256,553.8650638739792,14.1,1920x1080,1.73,8000,21,250,108.2
Acer,2019,AMD,low,2,2.33,2.81,100,Integrated,64,8,4266,HDD,256,102.82651518018918,14.4,2560x1440,1.72,8000,23,250,95.2
Dell,2023,Intel,low,2,2.01,2.32,100,NVIDIA GTX,676,8,3000,SATA SSD,512,485.5585852373839,14.2,1920x1080,2.31,6000,48,250,245.0
HP,2023,Intel,mid,6,3.05,3.57,100,NVIDIA GTX,523,16,2666,SATA SSD,1024,469.72366527133,13.2,3840x2160,1.74,4500,70,250,259.9
Apple,2025,AMD,mid,6,2.74,3.23,100,Integrated,164,8,3000,NVMe SSD,256,3806.7180019057405,15.5,2560x1440,1.96,4500,31,250,98.0
Asus,2023,AMD,mid,6,2.14,2.81,100,Integrated,91,8,3000,SATA SSD,1024,461.37056840328694,14.9,3840x2160,1.64,4500,25,250,123.4
Apple,2020,Intel,mid,6,2.83,3.24,100,AMD Radeon,601,16,2666,NVMe SSD,256,2782.551882406513,16.7,2560x1440,2.37,8000,73,250,200.2
Lenovo,2023,AMD,high,8,2.88,3.92,153,Integrated,60,32,2133,NVMe SSD,128,2814.759548534265,15.1,1920x1080,1.85,3500,38,250,217.6
HP,2020,Intel,low,4,2.06,2.27,100,NVIDIA GTX,454,8,2666,NVMe SSD,128,3632.7410244670455,15.6,2560x1440,1.9,6000,50,250,232.7
Razer,2021,Intel,mid,8,2.85,3.77,100,Integrated,86,16,2666,NVMe SSD,512,2656.3142775987167,14.5,1920x1080,1.34,4500,38,250,97.8
Razer,2019,Intel,mid,6,3.33,4.19,100,AMD Radeon,552,8,3600,NVMe SSD,512,2561.6828158944904,14.2,1920x1080,1.63,6000,66,250,247.8
MSI,2018,Intel,low,4,2.71,3.32,100,Integrated,36,8,2133,NVMe SSD,256,3243.2837555000324,15.2,1920x1080,1.88,8000,18,250,103.0
Razer,2025,AMD,mid,6,3.15,3.81,115,AMD Radeon,730,16,4800,NVMe SSD,256,3637.1709979560096,14.3,1920x1080,1.84,6000,63,250,312.7
Apple,2017,AMD,mid,8,2.43,2.91,106,NVIDIA RTX,870,16,3600,NVMe SSD,512,3022.2527938347644,14.8,1920x1080,2.1,3500,55,250,464.7
Dell,2024,Intel,mid,6,2.66,3.15,100,AMD Radeon,573,16,3200,SATA SSD,512,492.7891558940758,17.2,1920x1080,2.11,4500,57,250,295.7
MSI,2020,Intel,low,4,2.29,2.66,100,NVIDIA GTX,516,4,3000,SATA SSD,128,482.3020062852614,15.6,1920x1080,1.9,6000,45,250,286.7
HP,2022,Intel,low,4,2.33,2.88,100,NVIDIA GTX,503,4,3200,NVMe SSD,256,2609.888571435469,16.4,2560x1440,2.6,3500,41,250,183.0
Razer,2025,Intel,high,8,2.77,4.21,130,Integrated,58,16,3000,SATA SSD,1024,458.8255501995277,16.9,1920x1080,2.01,4500,48,250,94.7
HP,2024,AMD,mid,6,2.74,3.56,127,Integrated,67,16,3200,SATA SSD,256,525.1698133565452,16.0,3840x2160,1.81,6000,15,250,87.3
Acer,2025,Intel,low,4,2.18,2.83,100,NVIDIA RTX,1765,8,2666,NVMe SSD,128,2734.5456420616224,15.6,1920x1080,1.98,6000,42,295,658.1
Lenovo,2023,Intel,low,4,2.46,2.71,100,Integrated,83,8,2666,SATA SSD,256,453.348331782005,16.1,1920x1080,2.14,3500,23,250,143.9
Acer,2024,AMD,low,4,2.34,2.62,100,Integrated,20,8,2133,NVMe SSD,256,3977.2694698847117,15.6,2560x1440,2.14,6000,13,250,10.0
Acer,2024,AMD,low,4,2.11,2.76,100,NVIDIA GTX,488,8,3600,NVMe SSD,256,3147.007247243929,15.1,2560x1440,1.81,4500,33,250,278.7
MSI,2024,Intel,low,4,2.63,3.33,100,NVIDIA RTX,1673,8,2400,NVMe SSD,512,3641.7578699038795,17.5,2560x1440,2.03,4500,38,250,638.5
HP,2025,AMD,low,4,2.33,2.92,100,NVIDIA GTX,581,8,2666,NVMe SSD,256,3429.0209607775437,14.4,1920x1080,2.31,4500,46,250,303.4
Lenovo,2021,Intel,mid,4,2.73,3.31,100,Integrated,145,8,2666,SATA SSD,512,564.739233545621,14.9,1920x1080,1.48,3500,36,250,107.5
Acer,2022,Intel,mid,6,2.82,3.57,100,AMD Radeon,719,8,3000,NVMe SSD,512,2467.719334983156,13.6,1920x1080,2.31,4500,78,250,295.9
Lenovo,2016,Intel,mid,6,2.94,3.61,100,Integrated,153,16,3000,NVMe SSD,512,3111.0961135760313,15.6,1920x1080,1.81,3500,24,250,126.8
MSI,2017,Intel,mid,8,2.23,3.11,100,NVIDIA RTX,658,16,3200,NVMe SSD,512,2404.822539984078,17.6,1920x1080,2.31,4500,65,250,343.2
